Total segments: 1383
Duration: 3615s = 60:14

[0] 0:00 | בוקר טוב עמית ויונתן.
[1] 0:01 | >> בוקר טוב נטא. בוקר טוב אמית.
[2] 0:03 | >> בוקר טוב יונתן. הבוקר היחיד בשנה לדעתי
[3] 0:06 | שהוא לא דורש להקפיא אותנו עם המזגן כי זה
[4] 0:09 | קרה באופן טבעי. באמת למה אין פה איזה
[5] 0:12 | קערת מרק מהבילה על השולחן? לא יודע א סיר
[6] 0:15 | פונדו כזה לתבילה שאל שאלה מצוינת כבר
[7] 0:18 | בהתחלה. איזה מרק הוא האידאלי לארוחת
[8] 0:20 | בוקר?
[9] 0:21 | >> וואי מרק עוף כן.
[10] 0:22 | >> כל מרק טוב.
[11] 0:23 | >> מרק עוף.
[12] 0:24 | >> מה פתאום מרק עוף? צריך לתוך היום למרק
[13] 0:26 | אוף.
[14] 0:26 | >> מה זמר קשועית?
[15] 0:27 | >> לא אמרתי צירוף
[16] 0:28 | >> מרק עם מטריות. רק שועית על הבוקר
[17] 0:31 | >> חמוסתה לא חמוסטה זה
[18] 0:32 | >> לכל שעה ביום מה פתאום לא יודע מה עשייתי
[19] 0:35 | עשייתי עשייתי
[20] 0:36 | >> זה היה אמור להיגמר שם כן
[21] 0:38 | >> טוב חברים כתמיד אני היה מבוגר אחראי אני
[22] 0:41 | צריכה לקרוא אתכם לסדר אנחנו מוציאים לדרך
[23] 0:44 | את פרק 142 של מדברים מהבטן
[24] 0:47 | >> נכון תוכנית סיכום המחזור של הקולינריה
[25] 0:48 | הישראלית בשמש או בקור א יונתן אנחנו כאן
[26] 0:52 | רעבים תמיד
[27] 0:53 | >> שלום לכולם א קוראים לי אלישע מדן לפני
[28] 0:57 | שנה הכרתי לעומק
[29] 0:59 | את מפעל הפייס פודקאסט הזה שקראנו לגורל
[30] 1:03 | אחד נולד מהשאלות האלה איך בונים מחדש איך
[31] 1:09 | שומרים על תקווה איך קמים כיחידים כקהילה
[32] 1:13 | כעם ובונים לעצמנו עתיד טוב יותר אני
[33] 1:17 | מקווה שתמצאו פה השראה שיהיה מעניין
[34] 1:20 | שתמצאו כוח ואולי גם תשובה אחת קטנה לשאלה
[35] 1:26 | שמעסיקה את כולנו איך ממשיכים הלאה איך
[36] 1:29 | מהכאב הזה נצמח?
[37] 1:36 | מדברים מהבטן מבית הפודיום עם אמית
[38] 1:39 | ארוןסון, יונתן כהן ונת סלוני.
[39] 1:44 | מדברים מהבטן בית הפודיום. אנחנו בכל מקום
[40] 1:46 | שבו שומעים או רואים פודקאסטים. מה על
[41] 1:49 | שולחננו היום חברים? הרבה אש ושיפודים כדי
[42] 1:53 | להתחמם עם הטרנד של 2025 שמסרב לגבוע
[43] 1:57 | ב-2022.
[44] 1:58 | >> בהחלט. יש לנו גם הרבה אוכל אוכל של בית
[45] 2:01 | כי באמת שהיה סוף שבוע קר והוא השאיר
[46] 2:03 | אותנו בבתים.
[47] 2:04 | >> יהיה איתנו השפ חמודי אוקלה קצת יותר משנה
[48] 2:07 | אחרי שראיינו אותו כאן בפעם הקודמת בעקבות
[49] 2:09 | הסגירה של המסעדות שלו בחיפה והדיבור על
[50] 2:12 | לעזוב את הארץ. יש לו מקום חדש וזה משהו
[51] 2:15 | שמח למדי אני חושב.
[52] 2:16 | >> ויש לנו דירוג קצת אחר. דרוג המנות
[53] 2:19 | המגעילות ביותר בעולם על פי טי סטטלס מצד
[54] 2:22 | אחד יש לנו הרבה מה להגיד מצד שני א סוף
[55] 2:24 | סוף אנחנו על המפה חברים טובה בשעה טובה
[56] 2:27 | יש לנו עם כמה וכמה נציגים זה באמת מחמם
[57] 2:30 | לב כל העולם נגדנו זה באמת מחמם לב א ע
[58] 2:33 | אמית אתה המשכת במגמת האכילה המקומית
[59] 2:35 | וכמובן המחמאה הכי לא מחמיה שסגי כהן
[60] 2:39 | הצליח לתת למסעדה השבוע נכון
[61] 2:41 | >> אבל קודם כל לפני הכל הביסים המצטיינים
[62] 2:43 | אמית הפעם אתה מתחיל
[63] 2:45 | >> אוקיי אה אז אם או בלי קשר לטרנד
[64] 2:49 | 2016 איפה את היית ב-2016 אגב נתה כיתה
[65] 2:53 | יבוא מעלי והייתי כבר אחרי צבא הייתי כבר
[66] 2:57 | אחרי צבא
[67] 2:58 | >> אחרי צבא באמת כן
[68] 2:59 | >> כן אני פה כדי להתיע אז אני עם ביס שבוע
[69] 3:03 | שמגיע ממקום די נוסטלגי א כי הילדים שלי
[70] 3:06 | רצו המבורגר ומכיוון שאני פחות בקטע של
[71] 3:09 | משלוחים של המבורגרים לא היה לי רצון
[72] 3:11 | לנסוע רחוק מדי א האופציות בהרצליה והפעם
[73] 3:14 | הפור נפל על הגדיר
[74] 3:18 | ישיר יש עדיין נהג אדיר אני מודה גם מתוך
[75] 3:21 | רצון שלי לראות כאילו מה ואם משתנה שם בכל
[76] 3:24 | זאת הרשת הזאת נכנסת עכשיו לשנתה ה-30 שזה
[77] 3:28 | מטורף
[78] 3:29 | חלוצת תחום הפרימיום המבורגר בישראל אני
[79] 3:33 | זוכר את המסעדה הראשונה בנחלת בנימין
[80] 3:34 | שהיינו נוסעים מירושלים לאכול המבורגר זה
[81] 3:37 | היה מוקד עלייה על הרגל הסניף בהרצליה אגב
[82] 3:40 | ותיק מאוד גם 2001 רחוב המנופים שם
[83] 3:44 | >> אהרצליה כן אפ כל הזוזוברות
[84] 3:47 | >> כן באזור
[85] 3:49 | >> א עכשיו אגדיר את זה ראינו גם יונתן ואני
[86] 3:52 | בסקר שעשינו בצינור עדיין רשת מאוד אהובה
[87] 3:55 | על הישראל מקומה בדירוג
[88] 3:57 | >> הייתה בטופ זה לדעתי 10 12% משהו כזה א
[89] 4:02 | ואני מודה שאני מבין למה אחרי הביקור שלי
[90] 4:05 | שם א היום הטרנד אני חושב באופן כללי
[91] 4:08 | בעולם ההמבורגרים הוא כזה המבורגריות
[92] 4:09 | בוטיק היפסטריות סמשים מעט מרכיבים מאוד
[93] 4:13 | כזה מינימליסטי באגדיר עדיין מאמינים בצד
[94] 4:15 | צד השני במגוון, בשפע, א, בהתאמות אישיות,
[95] 4:20 | בהמון תוספות מופרעות וכשזה עובד, זה
[96] 4:23 | עובד. עכשיו מגישים שם עכשיו שני ספשלים
[97] 4:26 | שכל אחד מהם היה יכול להיות הביס השבועי,
[98] 4:28 | אז בואו נגיד שזה כזה פיפט פיפטי. אחד
[99] 4:30 | נקרא קנטינה הוא מרפרר למחוזות מקסיקו עם
[100] 4:34 | קוביות אבוקדו כמובן ורוטב חריף וכוסברה
[101] 4:36 | אבל גם עם שתי תוספות מבריקות פרייחולס
[102] 4:40 | קודם כל השית השקורה המבושלת
[103] 4:43 | ומן א
[104] 4:44 | >> דיסקית אפשר לומר או טוסטדה כזאת א שלטירס
[105] 4:48 | כחול א שנותנת פריחות א שתי
[106] 4:51 | >> מה זאת אומרת הם
[107] 4:52 | >> בפנים יש לך כמו תחשבי על מין דף כזה
[108] 4:55 | קריספי של א של נצ'ו ענק
[109] 4:58 | >> אה עכשיו שתי קציצות קטנות של 110 גרם.
[110] 5:01 | התוצאה הסופית היא מגדל בלתי אפשרי
[111] 5:04 | לאכילה.
[112] 5:04 | >> אתה בחרת את המנה הזאת בעצמך?
[113] 5:06 | >> בוודאי. למה לא?
[114] 5:07 | >> כי אתה ראית כאילו את המרנה הזאת את כל
[115] 5:09 | המרכבים ואמרת זה מה שבא לי.
[116] 5:11 | >> זה מה שבא לי לטאום. חד משמעית. בטח. מה
[117] 5:14 | איפה יש לטעות פה?
[118] 5:15 | >> לא לא זה לא זה לא המטע הזון שאני מכיר.
[119] 5:18 | >> אז א חיים אלי עם הפתעות יונתן. שתי
[120] 5:20 | קציצות של 110 גרם. עכשיו זה באמת מבחינה
[121] 5:23 | טכנית זה היה בלתי אפשרי לאכילה כי זה היה
[122] 5:25 | בערך בגובה כזה אבל אה בביס היה משהו מאוד
[123] 5:29 | מאוד מאוד כיפי כמו איזה בוריטו משוגע כזה
[124] 5:33 | רק שבמקום המעטפת של התורטיה יש לחמניה א
[125] 5:37 | איזון טעמים מאוד מאוד טוב מאוד טעים מצד
[126] 5:40 | שני המבורגר שקוראים לו יקוזה שלוקח
[127] 5:43 | למחוזות יפנים עם מיונז צות כזה אוממי
[128] 5:47 | וג'ינג'ר כבוש והרבה טוגרשי שנותן חריפות
[129] 5:51 | וגם כמו במקסיקן כאן תוספת חכמה של
[130] 5:53 | קריספיות עטריות אודון מטוגנות לטיגון
[131] 5:57 | עמוק בתוך ההמבורגר מלכלך נוזל מתפרק אבל
[132] 6:01 | ממש כיפי א בסופו של דבר שני המבורגרים
[133] 6:03 | מאוד מאוד מוצלחים המסביב אגב סטנדרטי
[134] 6:06 | לגמרי צ'יפס כפו מכמה סוגים טיגון ראוי
[135] 6:10 | טבעות בצל אמיתיות כמה תומכות לחימה אבל
[136] 6:13 | זה ממש לא הסיפור הקציצות אני חייב להגיד
[137] 6:17 | בדיוק אותו הטעם שאני זוכר מאגדיר
[138] 6:20 | ההיסטורית
[139] 6:22 | א לא נוטות לשומניות יתר שהיא קצת היום
[140] 6:25 | טרנדית אני חושב במחוזות ההמבורגרים א
[141] 6:29 | טעים מאוד לא זול כמו המבורגרים היום
[142] 6:32 | ההמבורגרים המיוחדים האלה עם תוספת צ'יפס
[143] 6:35 | זה באזור ה-90 ש₪ למנה
[144] 6:37 | >> לא ארוחה בעצם רק עם הצ'יפס בלי שתייה
[145] 6:39 | >> א לדעתי בלי אבל המבורגרים מאוד מושקעים
[146] 6:42 | מאוד טעימים ואני חושב שככה עוד דרך יפה
[147] 6:46 | לשמור על חיוניות חיוניות אותי חיות
[148] 6:50 | חיוניות רלוונטיות
[149] 6:51 | >> סימן שאלה על השועית אם זה עובד או שזה רק
[150] 6:54 | לשם הקונספט מה בשר טחון ושועית ביחד זה
[151] 6:57 | פגז
[152] 6:57 | >> אבל עם הכל
[153] 6:58 | >> בוודאי כמו תחשבו על בוריטו למה כל הדברים
[154] 7:02 | שיש לכם בבוריטו
[155] 7:04 | >> חוץ מהאורז והתורטיה תחליפו את זה בלחמני
[156] 7:07 | ההמבורגר אבוקדו שועית חריף קוסברה א קצת
[157] 7:11 | קולסלו פגז ממש כיפי
[158] 7:14 | >> כל כך לא מתיישב לי כל מה שאמרת פה עם
[159] 7:16 | הזמנה גם אתה יפני הזמנת כאילו
[160] 7:18 | >> כן באתי
[161] 7:19 | לטאום את זה טעמתי גם את המבורגר הרגיל
[162] 7:22 | טעמתי את ההמבורגר הרגיל של הילדים
[163] 7:25 | הרגילים כי הילדים שלי כמובן יכולים
[164] 7:27 | המבורגר בלי כלום וברמה הבסיסית הם מאוד
[165] 7:30 | מאוד מוצלחים אבל היה משהו מאוד עשוי
[166] 7:34 | בהמבורגרים האלה היפני אולי אפילו יותר כי
[167] 7:36 | הוא היה יותר נוח לאכילה הוא לא היה מוגזם
[168] 7:38 | בגודל שלוכן
[169] 7:39 | >> א אני מלא הפתעות כרימוני יונתן
[170] 7:41 | >> מי אתה ומה עשית לאמית
[171] 7:43 | >> טוב יפה
[172] 7:43 | >> בוא אספר למיס השבוע שלך אולי
[173] 7:45 | >> אני עכשיו
[174] 7:46 | >> אולי תפתיע אותנו
[175] 7:48 | אה אני היה פעם הולך על ביסטי חורפי
[176] 7:52 | במיוחד לאט
[177] 7:55 | >> ש שהוא מפתיע אולי בכיוון הגאוגרפי החסית
[178] 7:58 | של ה של הבחירה אני נצר ל אה גם גם גם גם
[179] 8:05 | א גם גם בדם וגם בנישואים לצפון אפריקה
[180] 8:09 | בעיקר זה ה היעד העיקרי והאהוב מכל אבל
[181] 8:13 | הפעם פה אנחנו נשים זרקור אלמנה מה שנקרא
[182] 8:16 | לזה מרכז ז אסיאטית
[183] 8:18 | >> גבול רוסיה עיראק מה שנקרא
[184] 8:19 | >> בדיוק א
[185] 8:23 | ממנה שהיא אנדריטד היא מגיעה להרבה הרבה
[186] 8:26 | יותר כבוד בטח בעולמות החמים היא לא זוכה
[187] 8:29 | למספיק והיא נשארת הדתית מאוד הדתית מדי
[188] 8:32 | ושווה שהיא תפרוץ את גבולות הז'נר וגבולות
[189] 8:36 | העדה שלה בלבד ואנחנו מדברים כמובן על
[190] 8:38 | הטביט העיראקי חמין אורז פשוט מאוד
[191] 8:42 | >> אדריטד
[192] 8:44 | טביט זה אנדרטד בטח
[193] 8:47 | בסוף בסוף בסוף בענייני החמין למיניהם
[194] 8:50 | כולם ילכו על הפורמטים של ערמות השימוש
[195] 8:54 | המוגזם בקטניות ובשרים מורכבים וכאלה אולי
[196] 8:58 | כחמין זה אנדר חמין
[197] 9:00 | >> הבנתי אוקי
[198] 9:01 | >> זה חמין ובסוף אתה יודע ובסוף אנחנו
[199] 9:05 | מדברים פה על משהו שהוא מאוד מאוד פשוט
[200] 9:07 | להכנה וברגע שמשתמשים כאילו ברגע שהיד
[201] 9:11 | שלכם עדינה מספיק כדי להקפיד על הטיבול
[202] 9:15 | שצריך להיות הדין וברגע שנותנים ביטוי
[203] 9:18 | מובהק ומספק לאלמנטים כמו העצמות ותוכנן
[204] 9:22 | לתוך הדבר הזה אז מתקבל אחד ה אחד
[205] 9:26 | התבשילים הטובים ביותר רוצים א מקום ש
[206] 9:28 | >> רגע מי הכין את ביט
[207] 9:30 | >> ברור
[208] 9:30 | >> מי הכין את ביט
[209] 9:31 | >> נו דליה
[210] 9:32 | >> בוודאי שהיא מתגנת בצל ואחר כך מוסיפה לא
[211] 9:37 | מעט עגבניות מגורדות וטיפה רסק מחברת אחר
[212] 9:40 | כך מניחה את העצמות שחשוב שיהיה גם לא מעט
[213] 9:45 | ח וגם כמה חתיכות של בשר בדרך כלל עושים
[214] 9:48 | את זה עם עוף נכון משאירים כמה חתיכות של
[215] 9:50 | בשר וגם וסוגרים
[216] 9:52 | >> ואז סילן בהרת כמה שינשום מלח פלפל מים
[217] 9:56 | וכמובן אורז ואז מים מכסים את האורז
[218] 9:59 | מבשלים על אש בינונית כחצי שעה
[219] 10:02 | >> ומאשפזים
[220] 10:03 | >> ואז מאשפזים למשך הלילה 110 מעלות על תנור
[221] 10:07 | זה יוצר מעטפת פריחה כאשר כאילו תהדיג
[222] 10:11 | הפוך
[223] 10:12 | >> נכון
[224] 10:12 | >> אהג
[225] 10:14 | מלמעלה בעצם נכון זה ההבדל לאיראן עירא
[226] 10:16 | רקאק א
[227] 10:19 | וזה פשוט א עונג אמיתי ובא טוב עם סלט טרי
[228] 10:25 | וחמצמץ ליד עם קצת חינה לא משנה איך ומה
[229] 10:29 | חלום דלקח
[230] 10:31 | >> וואו ממש אני חושב אבל רק חולק עליך
[231] 10:33 | בנקודה אחת שהטיבול דווקא צריך להיות
[232] 10:35 | דומיננטי בעיניי בטביט אני רוצה פותחים את
[233] 10:39 | הסיר ריח של הל שיעלה חלום בטח בערת
[234] 10:43 | עיראקי בערת עיראקי חייב הל חייב הלחה חס
[235] 10:47 | וחלילה אז בוא תע
[236] 10:48 | >> העדינות העדינות
[237] 10:51 | >> זה ה זה מה שהופך כל טיבול כל טיבול למוצל
[238] 10:54 | מי הסמכות העליונה שתוכל לפסוק האם צריך
[239] 10:57 | את ההל בטיבול או לא
[240] 10:58 | >> אני לא אמרתי שלא צריך הל אני מ שקודם כל
[241] 11:01 | יותר מי שצריך הלפצגן
[242] 11:03 | ראש העיר
[243] 11:04 | >> יותר מי שצריך הל
[244] 11:06 | >> באמת
[245] 11:06 | >> יותר מי שצריך הל צריך שהיד תהיה עדינה
[246] 11:09 | ואלגנטית זה הסיפור א יותר מדי די זה זה
[247] 11:13 | אסון
[248] 11:13 | >> טביתולוג ידוע אגב אסף זמיר
[249] 11:15 | >> כן
[250] 11:15 | >> כן לא תשמע בוא רגע רגע הסב זמ הסף זמיר
[251] 11:19 | א' תמיד תמיד נשמח להרח ותמיד נשמח לשמוע
[252] 11:21 | את התובנות שלו
[253] 11:22 | >> ומצד שני האדם
[254] 11:24 | >> כן שעיקר התזונה שלו היא המה שמתחולל שם
[255] 11:28 | בדיזיג אוף סנטר בימי חמישי ושישי המפגע
[256] 11:31 | הבריאותי הזה הקרווי פודקורט עם כל הכבוד
[257] 11:34 | ואני מכבד אני יודע לכבד דברים פשוטים לא
[258] 11:37 | זה לא עובד
[259] 11:37 | >> הבנתי אז א בסדר גמור
[260] 11:39 | >> עוד לא אכלתי שם משהו אחד טעים
[261] 11:41 | >> אז עוד לא ראיתי משהו שהתגרתי ממנו בדבר
[262] 11:43 | הזה ביום חמישי ביום מסכים איתו אני חייב
[263] 11:46 | להגיד אני קצת מסכים איתו אני חייב על
[264] 11:48 | כאלה אני כל פעם בא אני עובר
